id,species,family,subfamily,identification,wingspan,caterpillarhost,adultfood,habitat,flight,range
311,Pyrgus communis,Hesperiidae,Pyrginae,Upperside of male is blue-gray; female is black. Both sexes have large white spots which form median bands across both wings. Fringes of male checkered but black checks often reach only halfway to edge of fringe. Male has a costal fold enclosing scent scales on the upperside of the forewing. Underside is dull white with dark gray or olive bands. Spots of the hindwing marginal row are very small; spots of the submarginal row are larger. This species is separated from the white checkered skipper with confidence only by dissection and examination of the male genitalia.,1 - 1 1/2 inches (2.5 - 3.8 cm).,"Several plants in the mallow family (Malvaceae) including globemallows (Sphaeralcea), mallow (Malva), hollyhock (Althaea), alkali mallows (Sida), velvet-leaf (Abutilon), and poppy mallow (Callirhoe).","Nectar from white-flowered composites including shepherd\'s needles, fleabane, and asters; also red clover, knapweed, beggar\'s ticks, and many others.","Open, sunny places with low vegetation and some bare soil including prairies, meadows, fields, roadsides, landfills, yards, gardens, pastures, openings and trails in woods.","February-October in the Deep South, March-September in the north.","Most of the temperate United States south to Gulf coast, w. Texas, se. Arizona, southern California, and mountains of northern Mexico. Colonizes as far north as central Alberta, southern Ontario, and southern New England. It cannot survive very cold winters and may not be a permanent resident north of the 40th parallel."
312,Pyrgus oileus,Hesperiidae,Pyrginae,"Upperside is dark brown with pale markings; male forewing has a mat of long blue-gray hairs; hindwing of both sexes has marginal and submarginal bands made up of equal-sized spots. Underside of hindwing is pale, often with a strong brown overlay; not much contrast between bands and ground color.",1 1/4 - 1 1/2 inches (3.2 - 3.8 cm).,"Several plants in the mallow family (Malvaceae) including axocatzin (Sida rhombifolia), mallow (Malva), hollyhock (Althaea rosea), velvet-leaf (Abutilon), and malva loca (Malvastrum).",Nectar from flowers of Sidas and small-flowered composites such as shepherd's needles.,"Open, sunny areas including pastures, brushy fields, wooded trails, thorn-scrub, and roadsides.",Four to five broods throughout the year in South Texas and Florida.,"Peninsular Florida, the Gulf Coast, and South Texas south through the West Indies, Mexico, and Central America to Argentina."
313,Pyrgus ruralis,Hesperiidae,Pyrginae,Upperside is light-to-blackish brown; forewing has squarish white spots; hindwing usually has 2 rows of white spots. Underside is brown or gray with dull spots that are often obscure. Male has a costal fold enclosing scent scales on the forewing.,1 - 1 1/8 inches (2.5 - 2.9 cm).,"Herbaceous plants in the rose family (Rosaceae) including Drummond's potentilla (Potentilla drummondii), dusky horkelia (Horkelia fusca), Santa Rosa horkelia (H. tenuiloba), Cleveland's horkelia (H. bolanderi clevelandii), and probably others.",Flower nectar.,"Forest clearings, meadows, pastures, streamsides; from sea level to 10,000 feet.",One brood from April-July.,"Inconspicuous, usually local and uncommon. South in the mountains from British Columbia and Alberta to southern California, Arizona, and New Mexico."
314,Pyrgus scriptura,Hesperiidae,Pyrginae,Upperside is black-brown; forewing white spots are small; hindwing spots are few and submarginal row may be absent. Underside of forewing repeats upperside markings. Underside of hindwing is pale with barely contrasting markings. Male does not have a costal fold. White hindwing fringe is streaked with black only halfway to the edge of the fringe.,3/4 - 1 inch (2 - 2.5 cm).,"Alkali mallow (Sida hederacea), scarlet globemallow (Sphaeralcea coccinea), and desert globemallow (S. ambigua); all in the mallow family (Malvaceae).",Flower nectar.,"Prairie, open woodland, alkaline marshes and fields.","One brood from July-August in the north, several broods from March-November in the southern part of the range.","Montana and eastern Wyoming south through Colorado and New Mexico to Mexico; west through Utah, Nevada, and Arizona to southern California and Baja California Norte."
315,Pyrisitia nise,Pieridae,Coliadinae,"Both sexes yellow. Upperside of forewing with narrow black outer edges. Black margin of hindwing uncommon in male, missing in female.",1 1/8 - 2 inches (2.9 - 5.1 cm).,Sensitive plant (Mimosa pudica) in the pea family (Fabaceae).,Flower nectar.,Brushy woodland edges.,"May-August in southern Florida, September-November in southern Texas, all year in tropics.","Resident in Argentina north to the Texas Gulf Coast and southern Florida. Occasional stray to central Texas and southeastern Arizona; rarely to southern California, southern Colorado, and Kansas."
316,Pyrrhopyge araxes,Hesperiidae,Pyrrhopyginae,"Upperside is dark brown; forewing with large white patches, hindwing with scalloped outer margin. Underside of forewing is the same as the upperside, and has orange at the wing base. Underside of hindwing is mostly orange with a dark border and blurry dark markings.",1 3/4 - 2 1/4 inches (4.5 - 5.7 cm).,"Arizona oak (Quercus arizonica), Emory Oak (Q. emoryi), and Mexican blue oak (Q. oblongifolia)",Nectar from flowers including Monarda and Baccharis.,"Open oak woodland, roadsides, streamsides, forest trails and edges.","everal broods from June-November, most common in September.","Southern Arizona, west Texas, Mexico."
317,Regal fritillary,Nymphalidae,Heliconiinae,Large. Upperside of forewing bright red-orange with black markings. Upperside of hindwing black with postmedian row of white spots; submarginal row of spots is orange in male and white in female.,2 5/8 - 4 1/8 inches (6.7 - 10.5 cm).,Violets including bird\'s foot violet (Viola pedata).,"Nectar from flowers of milkweeds, thistles, red clover, and mountain mint.","Tall-grass prairie and other open sites including damp meadows, marshes, wet fields, and mountain pastures.",One brood from mid-June to mid-August.,"Tall-grass prairie remnants in Montana and North Dakota south to Colorado, Nebraska, and Oklahoma; rare or absent from former range east of the Appalachians."
318,Rekoa marius,Lycaenidae,Theclinae,Upperside of male dark iridescent blue; female gray. Hindwing has orange eyespot near tail.,7/8 - 1 1/4 inches (2.2 - 3.2 cm).,"Legumes, malpighias, and many other in several different families.",Flower nectar.,Disturbed tropical areas.,Probably flies all year in Mexico; September-December in South Texas.,"Paraguay north to Sonora, Mexico. Rare stray to South Texas."
319,Satyrium acadica,Lycaenidae,Theclinae,One tail on each hindwing. Upperside brown-gray. Underside of hindwing gray; blue marginal spot is capped with orange; row of orange submarginal spots capped with black; round black spots form postmedian row.,1 1/8 - 1 1/2 inches (2.9 - 3.8 cm).,Various willow species including black willow (Salix nigra) and silk willow (Salix sericea).,"Nectar from flowers including butterflyweed, meadowsweet, milkweeds, New Jersey tea, and thistles.","Willow-lined streams, marshes, moist woodlands.",One flight from June-August.,"British Columbia east to Nova Scotia; south to Idaho, Colorado, the upper Midwest, Maryland, and New Jersey."
320,Satyrium behrii,Lycaenidae,Theclinae,"Tailless. Upperside orange with wide brown borders on forewing. Underside of male brown, female brownish-white; both with postmarginal and submarginal lines of irregular small black spots.",1 - 1 1/4 inches (2.5 - 3.2 cm).,Antelope brush (Purshia species) and mountain- mahogany (Cercocarpus montanus) in the rose family (Rosaceae).,Flower nectar.,"Sagebrush scrub, juniper-pinyon woodland, brushland, pine woodland, chaparral.",One flight from June-July.,"Local within its range. Western Texas north and west through New Mexico, Arizona, and southern California to British Columbia."
321,Satyrium calanus,Lycaenidae,Theclinae,Hindwing has 1 long and 1 short tail. Upperside of both sexes dark brown. Underside of hindwing dark brown with postmedian band of dark dashes edged in white. Blue tail-spot not topped with orange.,1 - 1 1/2 inches (2.5 - 3.8 cm).,"Many species of oak (Quercus), walnut (Juglans), and hickory (Carya).","Nectar from flowers including dogbane and common milkweed (preferred), chinquapin, small-flowered dogwood, New Jersey tea, meadowsweet, staghorn sumac, white sweet clover, and yarrow.",Forest areas and neighboring open edges and fields.,"One flight from June-August in the north, April-May in Florida.","Maine across southern Canada to North Dakota; south to central Texas and the Gulf States. Southern Rocky Mountains in Wyoming, Colorado, Utah, and New Mexico."
322,Satyrium caryaevorus,Lycaenidae,Theclinae,"Hindwing with 1 tail. Underside light brown with broad, offset, white postmedian dashes. Hindwing with blue tail-spot and black-capped orange eyespot.",1 1/8 - 1 3/8 inches (2.9 - 3.5 cm).,"Mostly hickory (Carya); also ash (Fraxinus), chestnut (Castanea), and oak (Quercus) species.","Nectar from flowers of common milkweed, dogbane, New Jersey tea, staghorn sumac, and white sweet clover.",Deciduous forests and second-growth woods in areas of rich soil.,One flight from June-August.,"Southern New England west to Minnesota and Iowa, south in the Appalachians to eastern Tennessee."
323,Satyrium edwardsii,Lycaenidae,Theclinae,"One tail on the hindwing. Underside of hindwing pale brown, with postmedian band of dark brown oval spots; blue tail-spot not topped with orange.",1 1/8 - 1 1/2 inches (3 - 3.8 cm).,Scrub oak (Quercus ilicifolia) and occasionally black oak (Q. velutina).,"Nectar from various flowers including dogbane, goldenrod, meadowsweet, milkweeds, New Jersey tea, staghorn sumac, and white sweet clover.","Oak thickets in rocky open habitats including sand barrens, shale barrens, and limestone ridges.","One flight from June-July in the north, May-July in the south.","Eastern United States from southern Canada and southern Maine south to northeast Texas, central Missouri, and northern Georgia."
324,Satyrium favonius,Lycaenidae,Theclinae,"Two tails on each hindwing. Underside of hindwing gray-brown; blue tail-spot capped narrowly with orange; white-edged black W near inner margin. In peninsular Florida and along the south Atlantic coast, the hindwing has longer tails and more extensive orange and blue markings on the underside.",7/8 - 1 1/2 inches (2.2 - 3.8 cm).,Various oaks (Quercus species).,Flower nectar.,"Oak woodlands and edges, oak hammocks in the Deep South.",One flight from March-June.,"Southern New England and the Atlantic Coast south to peninsular Florida; west to central Illinois, southeastern Colorado, and the Gulf Coast."
325,Satyrium fuliginosum,Lycaenidae,Theclinae,No tails. Upperside drab dark gray. Underside gray to grayish brown; forewing with a line of white-bordered dark spots which may be lacking.,1 - 1 1/4 inches (2.5 - 3.2 cm).,Various lupines (Lupinus species) in the pea family (Fabaceae).,Flower nectar.,"Sagebrush hills, meadows, fields, road edges.",One flight from July-August.,"Local within its range. British Columbia south to central California, east to Wyoming and northern Colorado."
326,Satyrium titus,Lycaenidae,Theclinae,"No tails. Upperside dark brown. Underside of hindwing light brown with row of coral spots at margin, and postmedian row of black spots ringed with white.",1 - 1 1/2 inches (2.5 - 3.8 cm).,"Wild cherry, wild plum, and chokecherry (Prunus species) in the rose family (Rosaceae).","Nectar from flowers including butterflyweed, New Jersey tea, dogbane, and sulphur flower.","Shrubby areas, brushlands, openings in woodlands, neglected pastures, streamsides, barrens, chaparral, and brushlands.",One flight from May-August.,"Central Canada south to eastern California; east across southern Canada to New England; south to central New Mexico, central Texas, northern Arkansas, and central Georgia."
327,Satyrodes appalachia,Nymphalidae,Satyrinae,"Wings are medium brown. Lower side of forewing with the two end eyespots larger than the middle two; spots may not touch. Dark line inside the hindwing row spot is sinuous, not zigzagged.",1 7/8 - 2 1/4 inches (4.8 - 5.7 cm).,Sedge (Carex lacustris) and giant sedge (Rhynchospora inundata) in the sedge family (Cyperaceae).,Sap and other non-floral resources.,"Wooded wet swamps, shrub swamp, forest edges, and along slow-moving streams.","One brood from July-September in the north, two broods from June-October in the south.",Eastern Minnesota east to central New England and southern Quebec south through the Appalachians and coastal plain to Mississippi and Alabama. Isolated population in north peninsular Florida.
328,Satyrodes eurydice,Nymphalidae,Satyrinae,"Upperside is light to medium brown with black eyespots. Underside of forewing has submarginal eyespots about the same size, usually touching or linked like a chain; dark line inside the hindwing's spot row is zigzagged.",1 1/2 - 2 7/16 inches (3.8 - 6.2 cm).,"Various sedges (Carex stricta, C. lupulina, C. bromoides, and C. trichocarpa) in the sedge family (Cyperaceae).","Sap, bird droppings, and occasionally flower nectar.","Open sedge meadows, freshwater marshes, slow-moving streams, cord grass swales in tallgrass prairie.",One brood from June-September.,"Eastern North America from Nova Scotia south to Delaware and west to Saskatchewan and eastern Nebraska. Outlying populations in north-central Colorado, east-central Alberta, and northern Quebec."
329,Siproeta epaphus,Nymphalidae,Nymphalinae,Upperside from red-orange on the outer half by a cream-colored median band. Hindwing is brown with a cream-colored submarginal band.,,Blechum and Ruellia in the Acanthus family.,"Nectar from Croton, Cordia, Impatiens, Lantana, and Stachytarpheta; also rotting fruit, dung, and carrion.","Wet subtropical forests, edges, and rivers.",All year in tropical habitats.,Peru north through Central America to Mexico.
330,Siproeta stelenes,Nymphalidae,Nymphalinae,Upperside is dark brown to black with translucent whitish green or yellow-green patches. Underside is orange-brown with greenish patches. Dry season (winter) form is larger and the hindwing underside has smudged black marks inside the orange marginal band; wet season (summer) form is smaller and has silver marks instead of black smudges.,3 1/4 - 4 inches (8.3 - 10.1 cm).,Cafetin (Blechum brownei) and ruellia (Ruellia coccinea) in the family Acanthaceae.,"Rotting fruit. Occasionally feeds on bird droppings and nectar from flowers of lianas, trees, and sometimes herbaceous plants. Malachites may feed all day long and may fly to flowers 38 feet high in the canopy.","Mango, citrus, and avocado orchards in Florida; subtropical evergreen or semideciduous forests in Central America.",Two to three broods during the summer; one brood of the winter form hibernates.,"Brazil north through Central America, Mexico, and the West Indies to southern Florida and South Texas. A rare stray into Kansas. Comments: The southern Florida populations have become established since the 1960s; presumably having emigrated from Cuba."
331,Small pearl-bordered fritillary,Nymphalidae,Heliconiinae,Upperside orange with black markings. Underside of hindwing with rows of metallic silver spots; postmedian spots small and black.,1 3/8 - 2 1/8 inches (3.5 - 5.4 cm).,Violets including Viola glabella and V. nephrophylla.,"Favorite nectar sources are composite flowers, including goldenrod and black-eyed susans.","Wet meadows, bogs, marshes.","One flight from June-July in the north, two to three flights from May-September in the east.","Holarctic. Central Alaska southeast through Canada south of the taiga; northern United States from central Washington south along Rocky Mountains to northern New Mexico; east to Illinois, Virginia, and Maryland."
332,Speyeria adiaste,Nymphalidae,Heliconiinae,Upperside of male pale reddish-tan to bright brick red; female larger and paler than male. Dark markings scattered and small except for bold postmedian line. Underside pale yellow to gray. Hindwing spots unsilvered and barely contrasting with background color.,2 - 2 3/8 inches (5 - 6.1 cm).,Violets including Viola quercetorum.,Flower nectar.,"Openings in redwood and coniferous forests, oak woodlands, chaparral.",One flight from June-July.,"Very local, restricted range in California County north to San Mateo County; east to north Los Angeles County and Kern County."
333,Speyeria atlantis,Nymphalidae,Heliconiinae,"Quite variable. Upperside orange-brown, darker at base, with black outer margins; male has black scales on veins. Underside of hindwing with basal disk chocolate brown or purplish, hindwing spots always silvered.",2 - 2 3/4 inches (5 - 7 cm).,Violets.,"Flower nectar including that from common milkweed, mints, mountain laurel, crown vetch, burdock, boneset, ox-eye daisy, spiraea, and virgin\'s bower.","Forest openings, upland pastures, bogs, meadows, and moist canyons.",One flight from mid-June to September.,"Maritime Provinces and northeast United States south to West Virginia, west through the Great Lakes region and southern Canada. South in Rocky Mountains to Colorado Front Range."
334,Speyeria callippe,Nymphalidae,Heliconiinae,"Upperside tawny to bright red-brown with dark, evenly-spaced markings. Underside has triangular silver submarginal spots with narrow brown edging; other spots large and usually silvered.",2 - 2 1/2 inches (5 - 6.4 cm).,"Violets including Viola purpurea, V. pedunculata, V. beckwithii, V. douglasii, and V. nuttallii.",,"Sagebrush, chaparral, dry woodland, prairie hills.",One brood from May-August.,"Central British Columbia east to South Dakota and Manitoba, south to southern California, Nevada, Utah, and Colorado."
335,Speyeria coronis,Nymphalidae,Heliconiinae,Upperside tawny to orange-brown with black markings. Underside of hindwing with inwardly rounded silver spots in marginal row; other silver spots are elongated.,2 - 3 3/8 inches (5 - 8.6 cm).,"Violets including Viola nuttallii, V. purpurea, V. douglasii, and V. beckwithii.",Flower nectar.,"Mountain slopes, foothills, prairie valleys, chaparral, sagebrush, forest openings.",One flight from mid-June to September.,"Southern Washington east through the Great Basin to central South Dakota, Wyoming, Nebraska, and Colorado; south through Nevada and California to northwest Baja California Norte."
336,Speyeria edwardsii,Nymphalidae,Heliconiinae,Upperside of both wings tawny orange with black border and markings. Underside green or gray-green with narrow buff submarginal band and metallic silver markings.,2 1/2 - 3 3/8 inches (6.3 - 8.6 cm).,Violets including Viola nuttallii and V. adunca.,Flower nectar.,"Short-grass prairie, foothills, meadows, fields, road edges.",One brood from late June to early September.,"Short-grass prairie and western Rocky Mountains from southern Alberta east to the central Dakotas and western Nebraska, then south to northeastern New Mexico."
337,Speyeria egleis,Nymphalidae,Heliconiinae,"Upperside bright to dull orange-brown with dark markings evenly spaced. Underside of hindwing has triangular, silver submarginal spots; other spots small with brown edging; spots may or may not be silvered.",1 3/4 - 2 3/8 inches (4.5 - 6 cm).,"Violets including Viola adunca, V. nuttallii, V. purpurea, and V. walteri.",Flower nectar.,"Mountain meadows, forest openings, exposed rocky ridges.",One brood from late June-August.,"North Dakota southwest through Oregon to California, south to Colorado."
338,Speyeria hesperis,Nymphalidae,Heliconiinae,"Quite variable. Upperside orange-brown, often darker at base, with black outer margins especially on forewing; male has black scales on veins. Underside of hindwing with basal disk or light brown orange-brown with pale submarginal band; spots silvered or unsilvered.",2 - 2 3/4 inches (5 - 7 cm).,Violets.,"Flower nectar including Gaillardia, rabbitbrush, purple mints, and shrub cinquefoil.","Forest openings, meadows, and open hillsides.","One flight from June-October, mainly July-August.","Western mountains from central western Alaska, Yukon, and Northwest Territories south to central California, Arizona, and New Mexico."
339,Speyeria hydaspe,Nymphalidae,Heliconiinae,"Upperside orange-brown with dark bases and heavy dark markings. Underside light brown to dark maroon with violet tinge. Hindwing submarginal band slightly paler than rest of wing; spots cream-colored, bordered with black, and may or may not be silvered.",2 - 2 1/2 inches (5 - 6.4 cm).,"Violets including Viola adunca, V. glabella, V. nuttallii, V. orbiculata, and V. purpurea.",Flower nectar.,Moist forest openings and mountain meadows.,One brood from June-September.,"British Columbia east to Alberta, south to southern California, Idaho, Montana, and New Mexico."
340,Speyeria mormonia,Nymphalidae,Heliconiinae,"Small, with large rounded antennal clubs. Upperside tawny to orange-brown; male with no black scales on veins. Underside of hindwing orange-brown; base sometimes slightly darker or greenish. Spots are usually silvered.",1 1/2 - 2 3/8 inches (3.8 - 6.1 cm).,"Violets including Viola adunca, V. nuttallii, V. nephrophylla, and V. palustris.",Nectar from a variety of flowers including goldenrod.,"Mountain meadows and fell-fields, moist prairie valleys, subarctic forest openings.",One flight from June-September.,"Western mountains from southern Alaska south and east to Manitoba and the Dakotas; south to central California, eastern Nevada, southeastern Arizona, and northern New Mexico."
341,Speyeria zerene,Nymphalidae,Heliconiinae,Upper surface of both wings tawny to red-brown with dark markings. Underside of hindwing has silvered or unsilvered marginal spots more triangular than those of Speyeria coronis.,2 1/8 - 2 3/4 inches (5.4 - 7 cm).,"Violets including Viola adunca, V. lobata, V. cuneata, V. nuttallii, and V. purpurea.",,"accelerated by increased recreational use and development of the coast. Speyeria zerene hippolyta is listed as T1 by The Nature Conservancy: Critically imperiled because of extreme rarity (5 or fewer occurrences, or very few remaining individuals), or because of some factor of its biology making it especially vulnerable to extinction. (Critically endangered throughout its range). The Myrtle's silverspot (subspecies myrtleae) and Behren's silverspot (subspecies behrensii) are listed by the United States Fish and Wildlife Service.",One brood from mid-June to early September.,"Coastal British Columbia south and east to Montana, south to central California, Arizona, and New Mexico."
342,Staphylus hayhurstii,Hesperiidae,Pyrginae,Wing margins are scalloped; fringe is checkered black and tan. Upperside is dark brown with 2 darker bands across each wing; forewing has a few tiny translucent dots.,1 - 1 1/4 inches (2.5 - 3.2 cm).,"Lambsquarters (Chenopodium) in the goosefoot family (Chenopodiaceae), and occasionally chaff flower (Alternanthera) in the pigweed family (Amaranthaceae).","Nectar from marigold, knotweed, spearmint, wild marjoram, cucumber, dogbane, white sweet clover, and white clover.","Roads, trails, and openings in woods; vacant weedy lots; suburban gardens.","Two broods; from May-August in most of its range, April-September in Mississippi, February-December in Florida.","Eastern Nebraska east across the southern Midwest to southern Pennsylvania; south to Florida, the Gulf states, and central Texas."
343,Strymon acis,Lycaenidae,Theclinae,Hindwing with 1 long and 1 short tail. Upperside dark gray. Underside light gray. Hindwing with wide straight postmedian band of white edged with black; 2 white spots near base of wing.,7/8 - 1 1/8 inches (2.2 - 2.9 cm).,Narrow-leafed croton (Croton linearis) in the Euphorbiaceae family.,Nectar from flowers of narrow-leafed croton and shepherd's needle.,Pine forest openings.,Three to four flights in Florida from February-November.,"Southern Florida and the Keys, West Indies."
344,Strymon albata,Lycaenidae,Theclinae,Upperside gray with large areas of white patches. Underside of hindwing pale gray with faded postmedian line; eyespot near tail does not contain orange.,1 1/8 - 1 3/8 inches (2.9 - 3.5 cm).,Abutilon incanum in the Malvaceae family.,Flower nectar including blue boneset.,Second growth and shrubby fields in seasonally dry tropical lowlands.,"Possibly two broods in South Texas from June-December, throughout the year in the tropics.",Venezuela and Columbia north to Mexico. A rare stray to South Texas.
345,Strymon alea,Lycaenidae,Theclinae,"One long tail on hindwing. Upperside dark gray. Underside gray with a complicated pattern of blotches near the wing base, an irregular brown postmedian line, and a submarginal stripe of small, brown triangular spots.",3/4 - 1 1/8 inches (1.9 - 2.9 cm).,Bernardia myricaefolia in the Euphorbiaceae family.,Flower nectar.,Subtropical thorn scrub.,Possibly four broods from April-December in Texas.,Northwest Costa Rica north through Mexico to central and South Texas.
346,Strymon bazochii,Lycaenidae,Theclinae,No tails. Upperside of hindwing blue. Underside of hindwing has mottled pattern of brown and gray with dark patches; conspicuous dark spot near costal margin.,7/8 - 1 inch (2.2 - 2.5 cm).,"Lippia alba and L. graveolens in Texas, Lantanas and basils in Hawaii.","Nectar from flowers of Bidens alba, Lantana, Stachytarpheta jamaicensis among others.",Open areas in subtropical thorn scrub.,Two to three broods from May-December.,"Paraguay north through Central America, West Indies, and Mexico to South Texas. Introduced in 1902 to Hawaii to control (unsuccessfully) lantana."
347,Strymon istapa,Lycaenidae,Theclinae,"One short hindwing tail. Upperside dark gray; female with blue-gray at lower half of hindwing. Underside hindwing gray with one round black spot near base of costa, postmedian row of small black dots.",7/8 - 1 1/4 inches (2.2 - 3.2 cm).,Plants in mallow family (Malvaceae) including alkali mallow (Sida hederacea) and coastal Indian mallow (Abutilon permolle); also bay cedar (Suriana maritima).,"Nectar from small-flowered trees and composites, croton.","Open disturbed areas, second growth, weedy pastures, roadsides.",All year; number of broods has not been determined.,"Brazil north through Central America, the West Indies, and Mexico to southern California, southern Arizona, South Texas, and peninsular Florida."
348,Systasea pulverulenta,Hesperiidae,Pyrginae,Outer margin of hindwing has 2 deep indentations. Upperside is orange-brown with darker olive-brown areas; forewing has a median band of transparent spots all in a row.,15/16 - 1 3/8 inches (2.4 - 3.5 cm).,Various plants in the mallow family (Malvaceae).,Flower nectar.,"Openings in thorn forest and scrub, parks, near rivers.",February-December in South Texas.,South and west Texas south through Mexico to Guatemala.
349,Texola elada,Nymphalidae,Nymphalinae,"Dark brown with rows of small brownish orange spots. Underside of hindwing has a median band of two or three rows of white spots, and a red-orange marginal band.",7/8 - 1 1/4 inches (2.2 - 3.2 cm).,"Hairy tubetongue (Siphonoglossa pilosella) in Texas, yellow composites in Mexico.",Flower nectar.,Subtropical thorn forest and scrub.,Several broods from April-October.,Southern Mexico north to central Texas and central Arizona.
350,Thorybes bathyllus,Hesperiidae,Pyrginae,Hindwing is elongated. Upperside is dark brown; forewing has a wide band composed of aligned transparent spots. Male lacks a costal fold.,1 5/16 - 1 7/8 inches (3.3 - 5 cm).,"Various plants in the pea family (Fabaceae) including beggar's ticks (Desmodium), bush clover (Lespedeza), clover (Trifolium), milkvetch (Astragalus), fuzzybean (Strophostyles), and wild bean (Glycine).","Usually nectar from blue, purple, pink, or white flowers including dogbane, selfheal, crown vetch, Japanese honeysuckle, thistles, common milkweed, and others.","Open, scrubby places including dry meadows, burned areas, dry prairie hills, powerline right-of-ways, and others.",One brood from mid-June to mid-July in the north; two broods (possibly three) from June-early October in most of its range.,"Most of the eastern United States from southern Maine west across the Great Lake States to Minnesota, Nebraska, southeastern Colorado, and northern New Mexico; south to central Florida, the Gulf Coast, and Texas."
351,Thorybes confusis,Hesperiidae,Pyrginae,Upperside is dark brown; forewing spots are transparent and elongated. Male lacks a costal fold. Underside of hindwing is dark brown with well-defined markings.,1 1/2 - 1 7/8 inches (3.8 - 4.8 cm).,Possibly bush clover (Lespedeza) in the pea family (Fabaceae). This species has been documented ovipositing on Tephrosia florida (Florida Hoarypea) in North Carolina.,Flower nectar.,Near swamps and marshes; woods in river valleys.,Two broods from April-August.,"Southeastern Pennsylvania west to Missouri, south along the Atlantic Coastal plain to central Florida, the Gulf Coast, and Texas. Strays to southeastern Kansas, southern Illinois, and New Jersey."
352,Thorybes diversus,Hesperiidae,Pyrginae,Upperside is dull brown with small pale spots. Males lack a costal fold. Underside is dull brown with gray scaling at margins; hindwing with indistinct dark bands.,1 1/4 - 1 1/2 inches (3.2 - 3.8 cm).,Cow clover (Trifolium wormskjoldii) in the pea family (Fabaceae).,Flower nectar.,Small openings in coniferous forests.,One brood from June-July.,Local and scarce. South Cascade mountains of Oregon and the Sierra Nevada of California.
353,Thorybes drusius,Hesperiidae,Pyrginae,"Forewing is pointed; lower half of hindwing has white fringe. Upperside is black-brown with very small, clear spots on the forewing. Male has a costal fold containing scent scales on the forewing. Underside is dark brown; hindwing with dark outlines instead of solid bands.",1 1/2 - 1 3/4 inches (3.8 - 4.5 cm).,Cologania angustifolia and other Fabaceae.,Flower nectar including that from Aloysia and Guardiola.,"Oak woodland, desert grassland, canyons, streamsides.",Several broods from April-August.,Local and uncommon. Arizona to west Texas; south into Mexico.
354,Thorybes mexicana,Hesperiidae,Pyrginae,"Upperside is brown; forewing with large, dark-edged clear spots. Male has no costal fold. Underside is mottled brown and black with grayish outer margins; hindwing with brown striations.",1 1/8 - 1 3/8 inches (2.9 - 3.5 cm).,"Clover (Trifolium), wild pea (Lathyrus), and vetch (Vicia).",Flower nectar.,"Alpine and subalpine meadows, slopes, and clearings.",One flight from June-August.,High elevation mountains of the western United States south into Mexico.
355,Thorybes pylades,Hesperiidae,Pyrginae,"Upperside is dark brown; clear spots on forewing are small, triangular, and not aligned. Male forewing has a costal fold enclosing scent scales. Underside is brown with gray overscaling; hindwing has 2 dark bands.",1 1/4 - 1 7/8 inches (3.2 - 4.7 cm).,"Various plants in the pea family (Fabaceae) including beggar's ticks (Desmodium), bush clover (Lespedeza), clover (Trifolium), lotus (Hosackia), and others.","Usually nectar from blue, purple, pink, or white flowers including dogbane, selfheal, crown vetch, Japanese honeysuckle, thistles, common milkweed, Deptford pink, hoary vervain, and others.",Open or scrubby boreal woodland and forest edges.,"One brood from May-July in the north, earlier in the south. Two broods from March-September in Texas.","Nova Scotia west across southern Canada to British Columbia, south through California and the Rocky Mountain states to Mexico, Texas, the Gulf states, and Florida."
356,Timochares ruptifasciatus,Hesperiidae,Pyrginae,"Upperside of forewing is dark brown with irregular bands of darker spots; does not have transparent spots. Hindwing is orange-brown; upperside with 3 dark bands, underside with muted mottling.",1 1/2 - 1 11/16 inches (3.8 - 4.3 cm).,Barbados cherry (Malpighia glabra).,Flower nectar.,Openings and edges in tropical forests; city flower gardens.,Many broods from March-November in South Texas and Mexico.,"South Texas, Mexico, and Jamaica."
357,Tmolus echion,Lycaenidae,Theclinae,"Tailed. Upperside of male iridescent blue, female dull blue-gray. Underside light gray with 2 rows of orange oblong spots.",7/8 - 1 1/4 inches (2.2 - 3.2 cm).,"Many species of tropical plants including some in the verbena, mint, and potato families.",Flower nectar.,Subtropical scrub and forest edges.,"May in South Texas, all year in Hawaii and Mexico.","Brazil north to Sinaloa and Tamaulipas, Mexico. Strays rarely to South Texas. Was introduced to Hawaii in 1902 to control Lantana."
358,Urbanus dorantes,Hesperiidae,Pyrginae,Tails are long; fringes checkered. Body and wings are brown with no green iridescence. Forewing has prominent clear spots. Underside of hindwing has 2 bands of pale spots.,1 7/16 - 2 inches (3.7 - 5.1 cm).,"Various legumes including wild and cultivated beans (Phaseolus), beggar's ticks (Desmodium), and blue peas (Clitoria).","Flower nectar from shepherd\'s needle, lantana, trilisa, ironweed, bougainvillea, and others.","Roadsides, overgrown fields, edges of woods, clearings and along trails in hardwood hammocks.",Three to four broods throughout the year in south Florida and South Texas.,"Argentina north through Central America, Mexico, and the West Indies to South Texas and peninsular Florida. Strays north to northern California, southern Arizona, southern Missouri, and southern Georgia."
